#Time (UTC),x (km),y (km),z (km),Sun-NH Dist (km),Sun-NH Dist (AU),Vx (km/sec),Vy (km/sec),Vz (km/sec),Velocity (km/sec)
7/1/19,1881388037,-5979958761,-2342136517,6692169394,44.73,5.414327,-12.064038,-4.667764,14.02298
7/2/19,1881855832,-5981001083,-2342539808,6693373446,44.74,5.414256,-12.063792,-4.667667,14.022709
7/3/19,1882323621,-5982043384,-2342943090,6694577476,44.75,5.414185,-12.063546,-4.66757,14.022438
7/4/19,1882791403,-5983085664,-2343346364,6695781486,44.76,5.414115,-12.063301,-4.667473,14.022167
7/5/19,1883259180,-5984127923,-2343749629,6696985475,44.77,5.414044,-12.063055,-4.667376,14.021896
7/6/19,1883726950,-5985170160,-2344152887,6698189444,44.77,5.413973,-12.06281,-4.66728,14.021625
7/7/19,1884194714,-5986212376,-2344556135,6699393391,44.78,5.413903,-12.062564,-4.667183,14.021355
7/8/19,1884662472,-5987254571,-2344959376,6700597317,44.79,5.413832,-12.062319,-4.667086,14.021084
7/9/19,1885130224,-5988296745,-2345362608,6701801223,44.80,5.413762,-12.062074,-4.66699,14.020814
7/10/19,1885597970,-5989338897,-2345765832,6703005107,44.81,5.413691,-12.061828,-4.666893,14.020544
7/11/19,1886065710,-5990381029,-2346169047,6704208971,44.81,5.413621,-12.061583,-4.666797,14.020274
7/12/19,1886533444,-5991423139,-2346572254,6705412814,44.82,5.41355,-12.061338,-4.6667,14.020003
7/13/19,1887001172,-5992465228,-2346975453,6706616636,44.83,5.41348,-12.061093,-4.666604,14.019733
7/14/19,1887468893,-5993507296,-2347378643,6707820438,44.84,5.413409,-12.060849,-4.666507,14.019463
7/15/19,1887936609,-5994549343,-2347781825,6709024218,44.85,5.413339,-12.060604,-4.666411,14.019194
7/16/19,1888404318,-5995591368,-2348184999,6710227978,44.86,5.413269,-12.060359,-4.666314,14.018924
7/17/19,1888872022,-5996633373,-2348588164,6711431717,44.86,5.413198,-12.060115,-4.666218,14.018654
7/18/19,1889339719,-5997675356,-2348991321,6712635435,44.87,5.413128,-12.05987,-4.666122,14.018385
7/19/19,1889807410,-5998717318,-2349394470,6713839132,44.88,5.413058,-12.059626,-4.666025,14.018115
7/20/19,1890275095,-5999759259,-2349797611,6715042808,44.89,5.412987,-12.059381,-4.665929,14.017846
7/21/19,1890742774,-6000801179,-2350200743,6716246464,44.90,5.412917,-12.059137,-4.665833,14.017577
7/22/19,1891210447,-6001843078,-2350603867,6717450099,44.90,5.412847,-12.058893,-4.665737,14.017307
7/23/19,1891678114,-6002884956,-2351006982,6718653713,44.91,5.412776,-12.058649,-4.665641,14.017038
7/24/19,1892145775,-6003926813,-2351410089,6719857306,44.92,5.412706,-12.058405,-4.665545,14.016769
7/25/19,1892613430,-6004968648,-2351813188,6721060879,44.93,5.412636,-12.058161,-4.665449,14.0165
7/26/19,1893081079,-6006010463,-2352216279,6722264430,44.94,5.412566,-12.057917,-4.665353,14.016231
7/27/19,1893548721,-6007052256,-2352619361,6723467961,44.94,5.412495,-12.057673,-4.665257,14.015963
7/28/19,1894016358,-6008094029,-2353022435,6724671472,44.95,5.412425,-12.057429,-4.665161,14.015694
7/29/19,1894483988,-6009135780,-2353425501,6725874961,44.96,5.412355,-12.057186,-4.665065,14.015425
7/30/19,1894951613,-6010177510,-2353828558,6727078430,44.97,5.412285,-12.056942,-4.664969,14.015157
7/31/19,1895419231,-6011219220,-2354231607,6728281878,44.98,5.412215,-12.056699,-4.664873,14.014888
8/1/19,1895886843,-6012260908,-2354634648,6729485305,44.98,5.412144,-12.056455,-4.664777,14.01462
8/2/19,1896354450,-6013302575,-2355037681,6730688712,44.99,5.412074,-12.056212,-4.664681,14.014351
8/3/19,1896822050,-6014344221,-2355440705,6731892098,45.00,5.412004,-12.055969,-4.664585,14.014083
8/4/19,1897289644,-6015385847,-2355843721,6733095463,45.01,5.411934,-12.055726,-4.66449,14.013815
8/5/19,1897757232,-6016427451,-2356246729,6734298808,45.02,5.411864,-12.055483,-4.664394,14.013547
8/6/19,1898224814,-6017469034,-2356649728,6735502132,45.02,5.411794,-12.05524,-4.664298,14.013279
8/7/19,1898692390,-6018510596,-2357052720,6736705435,45.03,5.411723,-12.054997,-4.664203,14.013012
8/8/19,1899159960,-6019552138,-2357455703,6737908717,45.04,5.411653,-12.054754,-4.664107,14.012744
8/9/19,1899627524,-6020593658,-2357858677,6739111979,45.05,5.411583,-12.054512,-4.664012,14.012476
8/10/19,1900095081,-6021635157,-2358261644,6740315220,45.06,5.411513,-12.054269,-4.663916,14.012209
8/11/19,1900562633,-6022676636,-2358664602,6741518441,45.06,5.411443,-12.054027,-4.663821,14.011942
8/12/19,1901030179,-6023718093,-2359067552,6742721641,45.07,5.411373,-12.053785,-4.663726,14.011675
8/13/19,1901497718,-6024759530,-2359470494,6743924820,45.08,5.411303,-12.053543,-4.66363,14.011408
8/14/19,1901965252,-6025800945,-2359873428,6745127979,45.09,5.411233,-12.053301,-4.663535,14.011141
8/15/19,1902432780,-6026842340,-2360276353,6746331117,45.10,5.411163,-12.053059,-4.66344,14.010874
8/16/19,1902900301,-6027883714,-2360679270,6747534234,45.10,5.411094,-12.052817,-4.663345,14.010607
8/17/19,1903367817,-6028925067,-2361082179,6748737331,45.11,5.411024,-12.052575,-4.66325,14.010341
8/18/19,1903835326,-6029966399,-2361485080,6749940407,45.12,5.410954,-12.052334,-4.663155,14.010074
8/19/19,1904302829,-6031007710,-2361887972,6751143463,45.13,5.410885,-12.052092,-4.66306,14.009808
8/20/19,1904770327,-6032049000,-2362290856,6752346498,45.14,5.410816,-12.051851,-4.662965,14.009542
8/21/19,1905237818,-6033090270,-2362693732,6753549513,45.14,5.410746,-12.051609,-4.66287,14.009276
8/22/19,1905705304,-6034131519,-2363096600,6754752507,45.15,5.410677,-12.051368,-4.662775,14.00901
8/23/19,1906172783,-6035172746,-2363499460,6755955481,45.16,5.410608,-12.051126,-4.66268,14.008744
8/24/19,1906640257,-6036213953,-2363902311,6757158434,45.17,5.410539,-12.050885,-4.662586,14.008478
8/25/19,1907107725,-6037255139,-2364305155,6758361366,45.18,5.41047,-12.050644,-4.662491,14.008213
8/26/19,1907575186,-6038296304,-2364707990,6759564278,45.18,5.410402,-12.050402,-4.662396,14.007947
8/27/19,1908042642,-6039337449,-2365110817,6760767169,45.19,5.410333,-12.050161,-4.662301,14.007681
8/28/19,1908510092,-6040378572,-2365513635,6761970040,45.20,5.410264,-12.04992,-4.662206,14.007415
8/29/19,1908977536,-6041419675,-2365916446,6763172891,45.21,5.410196,-12.049678,-4.662111,14.00715
8/30/19,1909444974,-6042460757,-2366319248,6764375720,45.22,5.410127,-12.049437,-4.662016,14.006884
8/31/19,1909912406,-6043501817,-2366722042,6765578530,45.23,5.410058,-12.049195,-4.661922,14.006618
9/1/19,1910379832,-6044542857,-2367124828,6766781318,45.23,5.40999,-12.048954,-4.661827,14.006352
9/2/19,1910847252,-6045583877,-2367527606,6767984086,45.24,5.409921,-12.048712,-4.661732,14.006087
9/3/19,1911314666,-6046624875,-2367930376,6769186834,45.25,5.409853,-12.048471,-4.661637,14.005821
9/4/19,1911782074,-6047665852,-2368333137,6770389561,45.26,5.409784,-12.048229,-4.661542,14.005555
9/5/19,1912249477,-6048706809,-2368735890,6771592268,45.27,5.409716,-12.047988,-4.661447,14.005289
9/6/19,1912716873,-6049747745,-2369138635,6772794954,45.27,5.409647,-12.047746,-4.661352,14.005023
9/7/19,1913184264,-6050788660,-2369541372,6773997619,45.28,5.409579,-12.047505,-4.661257,14.004757
9/8/19,1913651649,-6051829553,-2369944100,6775200264,45.29,5.40951,-12.047263,-4.661162,14.004491
9/9/19,1914119027,-6052870427,-2370346820,6776402888,45.30,5.409442,-12.047021,-4.661067,14.004225
9/10/19,1914586400,-6053911279,-2370749532,6777605492,45.31,5.409373,-12.04678,-4.660972,14.003959
9/11/19,1915053767,-6054952110,-2371152236,6778808075,45.31,5.409304,-12.046538,-4.660877,14.003694
9/12/19,1915521128,-6055992921,-2371554932,6780010637,45.32,5.409236,-12.046297,-4.660782,14.003428
9/13/19,1915988483,-6057033710,-2371957619,6781213179,45.33,5.409167,-12.046055,-4.660687,14.003162
9/14/19,1916455832,-6058074479,-2372360299,6782415701,45.34,5.409098,-12.045814,-4.660592,14.002896
9/15/19,1916923175,-6059115227,-2372762970,6783618201,45.35,5.409029,-12.045572,-4.660496,14.00263
9/16/19,1917390512,-6060155954,-2373165632,6784820682,45.35,5.40896,-12.045331,-4.660401,14.002364
9/17/19,1917857843,-6061196660,-2373568287,6786023141,45.36,5.408891,-12.04509,-4.660306,14.002098
9/18/19,1918325169,-6062237345,-2373970933,6787225580,45.37,5.408822,-12.044848,-4.660211,14.001832
9/19/19,1918792488,-6063278010,-2374373571,6788427999,45.38,5.408753,-12.044607,-4.660116,14.001566
9/20/19,1919259801,-6064318653,-2374776201,6789630397,45.39,5.408684,-12.044366,-4.660021,14.0013
9/21/19,1919727108,-6065359276,-2375178823,6790832774,45.39,5.408615,-12.044124,-4.659926,14.001034
9/22/19,1920194410,-6066399878,-2375581437,6792035131,45.40,5.408546,-12.043883,-4.659831,14.000768
9/23/19,1920661705,-6067440459,-2375984042,6793237467,45.41,5.408476,-12.043642,-4.659736,14.000502
9/24/19,1921128994,-6068481020,-2376386639,6794439782,45.42,5.408407,-12.043401,-4.659641,14.000237
9/25/19,1921596278,-6069521559,-2376789228,6795642077,45.43,5.408337,-12.04316,-4.659546,13.999971
9/26/19,1922063555,-6070562077,-2377191809,6796844352,45.43,5.408268,-12.042919,-4.659451,13.999705
9/27/19,1922530826,-6071602575,-2377594381,6798046606,45.44,5.408199,-12.042677,-4.659356,13.999439
9/28/19,1922998092,-6072643052,-2377996945,6799248839,45.45,5.408129,-12.042437,-4.659261,13.999173
9/29/19,1923465351,-6073683508,-2378399501,6800451051,45.46,5.408059,-12.042196,-4.659166,13.998907
9/30/19,1923932604,-6074723944,-2378802049,6801653244,45.47,5.40799,-12.041955,-4.659071,13.998642
10/1/19,1924399852,-6075764358,-2379204589,6802855415,45.47,5.40792,-12.041714,-4.658976,13.998376
10/2/19,1924867093,-6076804752,-2379607120,6804057566,45.48,5.40785,-12.041473,-4.658881,13.99811
10/3/19,1925334328,-6077845125,-2380009644,6805259697,45.49,5.40778,-12.041232,-4.658787,13.997845
10/4/19,1925801557,-6078885477,-2380412159,6806461806,45.50,5.40771,-12.040992,-4.658692,13.997579
10/5/19,1926268781,-6079925808,-2380814666,6807663896,45.51,5.40764,-12.040751,-4.658597,13.997313
10/6/19,1926735998,-6080966118,-2381217164,6808865964,45.51,5.40757,-12.04051,-4.658502,13.997048
10/7/19,1927203209,-6082006408,-2381619655,6810068013,45.52,5.4075,-12.04027,-4.658407,13.996782
10/8/19,1927670414,-6083046677,-2382022137,6811270040,45.53,5.40743,-12.040029,-4.658312,13.996517
10/9/19,1928137612,-6084086925,-2382424611,6812472047,45.54,5.407359,-12.039789,-4.658217,13.996251
10/10/19,1928604805,-6085127153,-2382827077,6813674034,45.55,5.407289,-12.039549,-4.658123,13.995986
10/11/19,1929071992,-6086167359,-2383229535,6814876000,45.55,5.407219,-12.039309,-4.658028,13.99572
10/12/19,1929539173,-6087207545,-2383631984,6816077945,45.56,5.407148,-12.039068,-4.657933,13.995455
10/13/19,1930006347,-6088247710,-2384034425,6817279870,45.57,5.407077,-12.038828,-4.657838,13.99519
10/14/19,1930473516,-6089287855,-2384436859,6818481774,45.58,5.407007,-12.038588,-4.657744,13.994924
10/15/19,1930940678,-6090327978,-2384839284,6819683658,45.59,5.406936,-12.038348,-4.657649,13.994659
10/16/19,1931407834,-6091368081,-2385241700,6820885521,45.59,5.406865,-12.038108,-4.657554,13.994394
10/17/19,1931874984,-6092408163,-2385644109,6822087364,45.60,5.406794,-12.037869,-4.65746,13.994129
10/18/19,1932342128,-6093448225,-2386046509,6823289186,45.61,5.406723,-12.037629,-4.657365,13.993863
10/19/19,1932809266,-6094488266,-2386448902,6824490988,45.62,5.406652,-12.037389,-4.65727,13.993598
10/20/19,1933276398,-6095528286,-2386851286,6825692769,45.63,5.406581,-12.03715,-4.657176,13.993333
10/21/19,1933743523,-6096568285,-2387253662,6826894529,45.63,5.40651,-12.03691,-4.657081,13.993068
10/22/19,1934210643,-6097608264,-2387656029,6828096269,45.64,5.406439,-12.036671,-4.656987,13.992803
10/23/19,1934677756,-6098648222,-2388058389,6829297989,45.65,5.406367,-12.036431,-4.656892,13.992539
10/24/19,1935144863,-6099688159,-2388460740,6830499688,45.66,5.406296,-12.036192,-4.656798,13.992274
10/25/19,1935611964,-6100728076,-2388863084,6831701367,45.67,5.406224,-12.035953,-4.656704,13.992009
10/26/19,1936079058,-6101767972,-2389265419,6832903025,45.68,5.406152,-12.035714,-4.656609,13.991744
10/27/19,1936546147,-6102807847,-2389667746,6834104662,45.68,5.406081,-12.035475,-4.656515,13.99148
10/28/19,1937013229,-6103847702,-2390070065,6835306279,45.69,5.406009,-12.035237,-4.656421,13.991215
10/29/19,1937480305,-6104887536,-2390472375,6836507876,45.70,5.405937,-12.034998,-4.656326,13.990951
10/30/19,1937947375,-6105927350,-2390874678,6837709452,45.71,5.405865,-12.034759,-4.656232,13.990686
10/31/19,1938414439,-6106967143,-2391276972,6838911008,45.72,5.405793,-12.034521,-4.656138,13.990422
11/1/19,1938881496,-6108006915,-2391679258,6840112543,45.72,5.40572,-12.034283,-4.656044,13.990158
11/2/19,1939348547,-6109046667,-2392081536,6841314058,45.73,5.405648,-12.034045,-4.65595,13.989894
11/3/19,1939815592,-6110086398,-2392483806,6842515552,45.74,5.405576,-12.033807,-4.655856,13.98963
11/4/19,1940282631,-6111126109,-2392886068,6843717026,45.75,5.405503,-12.033569,-4.655762,13.989366
11/5/19,1940749663,-6112165799,-2393288322,6844918480,45.76,5.405431,-12.033332,-4.655668,13.989103
11/6/19,1941216689,-6113205468,-2393690568,6846119913,45.76,5.405359,-12.033094,-4.655574,13.988839
11/7/19,1941683709,-6114245117,-2394092805,6847321326,45.77,5.405286,-12.032857,-4.655481,13.988576
11/8/19,1942150723,-6115284746,-2394495035,6848522718,45.78,5.405213,-12.03262,-4.655387,13.988313
11/9/19,1942617730,-6116324354,-2394897256,6849724091,45.79,5.405141,-12.032383,-4.655294,13.98805
11/10/19,1943084731,-6117363942,-2395299470,6850925442,45.80,5.405068,-12.032146,-4.6552,13.987787
11/11/19,1943551726,-6118403509,-2395701675,6852126774,45.80,5.404995,-12.03191,-4.655107,13.987525
11/12/19,1944018714,-6119443056,-2396103872,6853328085,45.81,5.404923,-12.031673,-4.655013,13.987262
11/13/19,1944485696,-6120482582,-2396506061,6854529376,45.82,5.40485,-12.031437,-4.65492,13.987
11/14/19,1944952672,-6121522088,-2396908242,6855730646,45.83,5.404777,-12.031201,-4.654827,13.986738
11/15/19,1945419642,-6122561574,-2397310415,6856931896,45.84,5.404705,-12.030965,-4.654734,13.986476
11/16/19,1945886605,-6123601039,-2397712580,6858133126,45.84,5.404632,-12.030729,-4.654641,13.986214
11/17/19,1946353562,-6124640483,-2398114737,6859334336,45.85,5.40456,-12.030493,-4.654548,13.985952
11/18/19,1946820513,-6125679908,-2398516886,6860535526,45.86,5.404488,-12.030258,-4.654455,13.98569
11/19/19,1947287458,-6126719312,-2398919027,6861736695,45.87,5.404415,-12.030022,-4.654362,13.985429
11/20/19,1947754396,-6127758696,-2399321160,6862937844,45.88,5.404343,-12.029787,-4.654269,13.985168
11/21/19,1948221328,-6128798059,-2399723285,6864138973,45.88,5.404271,-12.029551,-4.654176,13.984906
11/22/19,1948688254,-6129837402,-2400125402,6865340081,45.89,5.404199,-12.029316,-4.654084,13.984645
11/23/19,1949155174,-6130876725,-2400527510,6866541170,45.90,5.404126,-12.029081,-4.653991,13.984384
11/24/19,1949622087,-6131916028,-2400929611,6867742238,45.91,5.404054,-12.028846,-4.653898,13.984123
11/25/19,1950088994,-6132955310,-2401331704,6868943286,45.92,5.403982,-12.028611,-4.653805,13.983863
11/26/19,1950555895,-6133994572,-2401733789,6870144314,45.92,5.40391,-12.028376,-4.653713,13.983602
11/27/19,1951022790,-6135033813,-2402135866,6871345322,45.93,5.403838,-12.028141,-4.65362,13.983341
11/28/19,1951489678,-6136073034,-2402537934,6872546309,45.94,5.403765,-12.027907,-4.653527,13.98308
11/29/19,1951956561,-6137112235,-2402939995,6873747277,45.95,5.403693,-12.027672,-4.653435,13.98282
11/30/19,1952423436,-6138151416,-2403342048,6874948224,45.96,5.403621,-12.027437,-4.653342,13.982559
12/1/19,1952890306,-6139190576,-2403744093,6876149151,45.96,5.403549,-12.027203,-4.65325,13.982299
12/2/19,1953357170,-6140229717,-2404146129,6877350058,45.97,5.403477,-12.026968,-4.653157,13.982038
12/3/19,1953824027,-6141268837,-2404548158,6878550945,45.98,5.403404,-12.026734,-4.653065,13.981778
12/4/19,1954290878,-6142307936,-2404950179,6879751811,45.99,5.403332,-12.026499,-4.652972,13.981517
12/5/19,1954757723,-6143347016,-2405352192,6880952658,46.00,5.40326,-12.026265,-4.65288,13.981257
12/6/19,1955224561,-6144386075,-2405754197,6882153484,46.00,5.403187,-12.026031,-4.652787,13.980997
12/7/19,1955691393,-6145425114,-2406156193,6883354290,46.01,5.403115,-12.025797,-4.652695,13.980737
12/8/19,1956158219,-6146464133,-2406558182,6884555076,46.02,5.403042,-12.025563,-4.652602,13.980477
12/9/19,1956625039,-6147503131,-2406960163,6885755842,46.03,5.40297,-12.025329,-4.65251,13.980217
12/10/19,1957091853,-6148542109,-2407362136,6886956588,46.04,5.402897,-12.025096,-4.652418,13.979957
12/11/19,1957558660,-6149581068,-2407764101,6888157314,46.04,5.402825,-12.024862,-4.652326,13.979698
12/12/19,1958025461,-6150620006,-2408166058,6889358019,46.05,5.402752,-12.024628,-4.652233,13.979438
12/13/19,1958492255,-6151658923,-2408568007,6890558705,46.06,5.402679,-12.024395,-4.652141,13.979179
12/14/19,1958959044,-6152697821,-2408969948,6891759371,46.07,5.402607,-12.024162,-4.652049,13.978919
12/15/19,1959425826,-6153736699,-2409371881,6892960016,46.08,5.402534,-12.023929,-4.651957,13.97866
12/16/19,1959892602,-6154775556,-2409773806,6894160641,46.08,5.402461,-12.023696,-4.651865,13.978401
