# JD          x_km               y_km                z_km      vx_km_s        vy_km_s         vz_km_s
2458484.500 +1.80174028e+09 -5.78834119e+09 -2.26901010e+09 +5.47008922e+00 -1.21034424e+01 -4.69308170e+00
2458484.750 +1.80185844e+09 -5.78860262e+09 -2.26911147e+09 +5.47005981e+00 -1.21033660e+01 -4.69307701e+00
2458485.000 +1.80197659e+09 -5.78886406e+09 -2.26921284e+09 +5.47004101e+00 -1.21033061e+01 -4.69304845e+00
2458485.250 +1.80209474e+09 -5.78912549e+09 -2.26931421e+09 +5.47002221e+00 -1.21032463e+01 -4.69301989e+00
2458485.500 +1.80221290e+09 -5.78938692e+09 -2.26941558e+09 +5.47000342e+00 -1.21031864e+01 -4.69299133e+00
2458485.750 +1.80233105e+09 -5.78964834e+09 -2.26951695e+09 +5.46998463e+00 -1.21031265e+01 -4.69296278e+00
2458486.000 +1.80244920e+09 -5.78990977e+09 -2.26961832e+09 +5.46996583e+00 -1.21030667e+01 -4.69293423e+00
2458486.250 +1.80256735e+09 -5.79017120e+09 -2.26971969e+09 +5.46994707e+00 -1.21030066e+01 -4.69290566e+00
2458486.500 +1.80268550e+09 -5.79043262e+09 -2.26982105e+09 +5.46992828e+00 -1.21029468e+01 -4.69287711e+00
2458486.750 +1.80280365e+09 -5.79069404e+09 -2.26992242e+09 +5.46990954e+00 -1.21028885e+01 -4.69284858e+00
2458487.000 +1.80292180e+09 -5.79095547e+09 -2.27002378e+09 +5.46989075e+00 -1.21028286e+01 -4.69282004e+00
2458487.250 +1.80303995e+09 -5.79121689e+09 -2.27012515e+09 +5.46987198e+00 -1.21027687e+01 -4.69279148e+00
2458487.500 +1.80315810e+09 -5.79147831e+09 -2.27022651e+09 +5.46985320e+00 -1.21027089e+01 -4.69276294e+00
2458487.750 +1.80327625e+09 -5.79173972e+09 -2.27032788e+09 +5.46983444e+00 -1.21026490e+01 -4.69273440e+00
2458488.000 +1.80339440e+09 -5.79200114e+09 -2.27042924e+09 +5.46981566e+00 -1.21025892e+01 -4.69270586e+00
2458488.250 +1.80351254e+09 -5.79226256e+09 -2.27053060e+09 +5.46979688e+00 -1.21025294e+01 -4.69267733e+00
2458488.500 +1.80363069e+09 -5.79252397e+09 -2.27063196e+09 +5.46977810e+00 -1.21024696e+01 -4.69264881e+00
2458488.750 +1.80374884e+09 -5.79278538e+09 -2.27073332e+09 +5.46975933e+00 -1.21024098e+01 -4.69262028e+00
2458489.000 +1.80386698e+09 -5.79304679e+09 -2.27083468e+09 +5.46974055e+00 -1.21023500e+01 -4.69259176e+00
2458489.250 +1.80398513e+09 -5.79330820e+09 -2.27093604e+09 +5.46972178e+00 -1.21022902e+01 -4.69256324e+00
2458489.500 +1.80410328e+09 -5.79356961e+09 -2.27103740e+09 +5.46970301e+00 -1.21022304e+01 -4.69253472e+00
2458489.750 +1.80422142e+09 -5.79383102e+09 -2.27113876e+09 +5.46968424e+00 -1.21021706e+01 -4.69250620e+00
2458490.000 +1.80433957e+09 -5.79409243e+09 -2.27124012e+09 +5.46966548e+00 -1.21021109e+01 -4.69247769e+00
2458490.250 +1.80445771e+09 -5.79435383e+09 -2.27134148e+09 +5.46964671e+00 -1.21020511e+01 -4.69244917e+00
2458490.500 +1.80457586e+09 -5.79461523e+09 -2.27144283e+09 +5.46962795e+00 -1.21019914e+01 -4.69242066e+00
2458490.750 +1.80469400e+09 -5.79487664e+09 -2.27154419e+09 +5.46960918e+00 -1.21019316e+01 -4.69239216e+00
2458491.000 +1.80481214e+09 -5.79513804e+09 -2.27164554e+09 +5.46959042e+00 -1.21018719e+01 -4.69236365e+00
2458491.250 +1.80493029e+09 -5.79539944e+09 -2.27174690e+09 +5.46957166e+00 -1.21018121e+01 -4.69233515e+00
2458491.500 +1.80504843e+09 -5.79566084e+09 -2.27184825e+09 +5.46955291e+00 -1.21017524e+01 -4.69230665e+00
2458491.750 +1.80516657e+09 -5.79592223e+09 -2.27194961e+09 +5.46953402e+00 -1.21016850e+01 -4.69227804e+00
2458492.000 +1.80528471e+09 -5.79618363e+09 -2.27205096e+09 +5.46951527e+00 -1.21016253e+01 -4.69224954e+00
2458492.250 +1.80540285e+09 -5.79644502e+09 -2.27215231e+09 +5.46949652e+00 -1.21015656e+01 -4.69222105e+00
2458492.500 +1.80552099e+09 -5.79670642e+09 -2.27225366e+09 +5.46947776e+00 -1.21015059e+01 -4.69219256e+00
2458492.750 +1.80563914e+09 -5.79696781e+09 -2.27235501e+09 +5.46945901e+00 -1.21014462e+01 -4.69216407e+00
2458493.000 +1.80575728e+09 -5.79722920e+09 -2.27245636e+09 +5.46944026e+00 -1.21013865e+01 -4.69213558e+00
2458493.250 +1.80587541e+09 -5.79749059e+09 -2.27255771e+09 +5.46942124e+00 -1.21013254e+01 -4.69211164e+00
2458493.500 +1.80599355e+09 -5.79775198e+09 -2.27265906e+09 +5.46940221e+00 -1.21012643e+01 -4.69208769e+00
2458493.750 +1.80611169e+09 -5.79801336e+09 -2.27276041e+09 +5.46938318e+00 -1.21012032e+01 -4.69206375e+00
2458494.000 +1.80622983e+09 -5.79827475e+09 -2.27286176e+09 +5.46936415e+00 -1.21011422e+01 -4.69203982e+00
2458494.250 +1.80634797e+09 -5.79853613e+09 -2.27296311e+09 +5.46934513e+00 -1.21010811e+01 -4.69201588e+00
2458494.500 +1.80646611e+09 -5.79879752e+09 -2.27306446e+09 +5.46932611e+00 -1.21010201e+01 -4.69199195e+00
2458494.750 +1.80658424e+09 -5.79905890e+09 -2.27316580e+09 +5.46930703e+00 -1.21009592e+01 -4.69196804e+00
2458495.000 +1.80670238e+09 -5.79932028e+09 -2.27326715e+09 +5.46928801e+00 -1.21008982e+01 -4.69194412e+00
2458495.250 +1.80682052e+09 -5.79958166e+09 -2.27336849e+09 +5.46926899e+00 -1.21008372e+01 -4.69192019e+00
2458495.500 +1.80693865e+09 -5.79984303e+09 -2.27346984e+09 +5.46924998e+00 -1.21007761e+01 -4.69189626e+00
2458495.750 +1.80705679e+09 -5.80010441e+09 -2.27357118e+09 +5.46923096e+00 -1.21007151e+01 -4.69187234e+00
2458496.000 +1.80717492e+09 -5.80036578e+09 -2.27367253e+09 +5.46921195e+00 -1.21006541e+01 -4.69184842e+00
2458496.250 +1.80729306e+09 -5.80062716e+09 -2.27377387e+09 +5.46919293e+00 -1.21005931e+01 -4.69182450e+00
2458496.500 +1.80741119e+09 -5.80088853e+09 -2.27387522e+09 +5.46917392e+00 -1.21005320e+01 -4.69180059e+00
2458496.750 +1.80752933e+09 -5.80114990e+09 -2.27397656e+09 +5.46915491e+00 -1.21004710e+01 -4.69177667e+00
2458497.000 +1.80764746e+09 -5.80141127e+09 -2.27407790e+09 +5.46913590e+00 -1.21004100e+01 -4.69175276e+00
2458497.250 +1.80776559e+09 -5.80167264e+09 -2.27417924e+09 +5.46911690e+00 -1.21003490e+01 -4.69172886e+00
2458497.500 +1.80788373e+09 -5.80193400e+09 -2.27428058e+09 +5.46909789e+00 -1.21002881e+01 -4.69170495e+00
2458497.750 +1.80800186e+09 -5.80219537e+09 -2.27438192e+09 +5.46907889e+00 -1.21002271e+01 -4.69168104e+00
2458498.000 +1.80811999e+09 -5.80245673e+09 -2.27448326e+09 +5.46905988e+00 -1.21001661e+01 -4.69165714e+00
2458498.250 +1.80823812e+09 -5.80271810e+09 -2.27458460e+09 +5.46904088e+00 -1.21001051e+01 -4.69163324e+00
2458498.500 +1.80835625e+09 -5.80297946e+09 -2.27468594e+09 +5.46902188e+00 -1.21000442e+01 -4.69160935e+00
2458498.750 +1.80847438e+09 -5.80324082e+09 -2.27478728e+09 +5.46900288e+00 -1.20999832e+01 -4.69158545e+00
2458499.000 +1.80859251e+09 -5.80350218e+09 -2.27488862e+09 +5.46898389e+00 -1.20999222e+01 -4.69156156e+00
2458499.250 +1.80871064e+09 -5.80376354e+09 -2.27498996e+09 +5.46896489e+00 -1.20998613e+01 -4.69153767e+00
2458499.500 +1.80882877e+09 -5.80402489e+09 -2.27509129e+09 +5.46894590e+00 -1.20998004e+01 -4.69151378e+00
2458499.750 +1.80894690e+09 -5.80428625e+09 -2.27519263e+09 +5.46892690e+00 -1.20997394e+01 -4.69148989e+00
2458500.000 +1.80906503e+09 -5.80454760e+09 -2.27529397e+09 +5.46890800e+00 -1.20996785e+01 -4.69146606e+00
2458500.250 +1.80918316e+09 -5.80480895e+09 -2.27539530e+09 +5.46888901e+00 -1.20996175e+01 -4.69144218e+00
2458500.500 +1.80930129e+09 -5.80507030e+09 -2.27549664e+09 +5.46887002e+00 -1.20995566e+01 -4.69141830e+00
2458500.750 +1.80941941e+09 -5.80533165e+09 -2.27559797e+09 +5.46885104e+00 -1.20994957e+01 -4.69139442e+00
2458501.000 +1.80953754e+09 -5.80559300e+09 -2.27569930e+09 +5.46883205e+00 -1.20994348e+01 -4.69137055e+00
2458501.250 +1.80965567e+09 -5.80585435e+09 -2.27580064e+09 +5.46881307e+00 -1.20993739e+01 -4.69134668e+00
2458501.500 +1.80977379e+09 -5.80611570e+09 -2.27590197e+09 +5.46879408e+00 -1.20993130e+01 -4.69132281e+00
2458501.750 +1.80989192e+09 -5.80637704e+09 -2.27600330e+09 +5.46877510e+00 -1.20992521e+01 -4.69129894e+00
2458502.000 +1.81001005e+09 -5.80663838e+09 -2.27610463e+09 +5.46875612e+00 -1.20991912e+01 -4.69127507e+00
2458502.250 +1.81012817e+09 -5.80689973e+09 -2.27620597e+09 +5.46873714e+00 -1.20991303e+01 -4.69125121e+00
2458502.500 +1.81024630e+09 -5.80716107e+09 -2.27630730e+09 +5.46871816e+00 -1.20990695e+01 -4.69122735e+00
2458502.750 +1.81036442e+09 -5.80742241e+09 -2.27640863e+09 +5.46869919e+00 -1.20990086e+01 -4.69120349e+00
2458503.000 +1.81048254e+09 -5.80768374e+09 -2.27650996e+09 +5.46868021e+00 -1.20989477e+01 -4.69117963e+00
2458503.250 +1.81060067e+09 -5.80794508e+09 -2.27661129e+09 +5.46866124e+00 -1.20988869e+01 -4.69115578e+00
2458503.500 +1.81071879e+09 -5.80820642e+09 -2.27671261e+09 +5.46864227e+00 -1.20988260e+01 -4.69113193e+00
2458503.750 +1.81083691e+09 -5.80846775e+09 -2.27681394e+09 +5.46862330e+00 -1.20987652e+01 -4.69110808e+00
